"snd_id;modified;dspace;archive_holder;registration_number;dataset_version;handle;collection_submit_id;additional_information"
2020-50;2021-03-17T16:43:26.793666Z;n;kv;SLU.kv.2017.4.1-84;1;20.500.12703/3875;88911c5a-7bdb-478a-8196-4af46bb7db7d;
2021-116;2021-08-02T14:16:02.850763Z;n;sfak;SLU.sfak.2019.3.2.2-367;1;20.500.12703/3904;3fce416e-f4e1-4153-a1d5-22252c1c3bd4;
2021-152;2021-09-22T09:32:38.617515Z;n;ekol;SLU.ekol.2021.4.4.IÄ-2;1;20.500.12703/3909;fa66347-106e-4535-bbfb-72ef8d35c433;
2021-188;2021-08-05T12:13:30.067944Z;n;ekol;SLU.ekol.2021.4.4.IÄ-3;1;20.500.12703/3911;6d7c5daf-658a-43b7-89b0-50cde5b9aee5;
2021-193;2021-10-14T07:56:22.896944Z;n;ess;SLU.ess.2021.4.4.IÄ-1;1;20.500.12703/3913;66050e29-62e1-43e9-9e55-907bef9d8a0c;
2021-194;2021-09-21T13:53:26.355501Z;n;esf;SLU.esf.2021.5.4-11;1;20.500.12703/3915;03f6f626-4b59-48b2-aa87-6db4c05f186e;
2021-215;2021-08-26T14:04:52.693434Z;n;ekol;SLU.ekol.2021.4.4.IÄ-4;1;20.500.12703/3917;04a35b2b-17b7-4c88-8aa1-9cf41691c5b9;
2021-268;2021-10-21T09:28:29.184998Z;n;vpe;SLU.vpe.2021.4.4.IÄ-5;-;20.500.12703/3900;df3a7de5-d2fa-49ce-8979-33ee652dd4f3;
2021-278;2021-11-29T10:24:44.567653Z;n;seksko;SLU.seksko.2019.4.1-90;1;20.500.12703/3919;c08db241-7492-4577-8958-a5118ac75272;
2021-285;2021-11-24T13:38:17.610175Z;n;ekol;SLU.ekol.2021.4.4.IÄ-10;1;20.500.12703/3921;589a5b95-3cfc-48b4-b7a3-7a0ec367f934;
2021-299;2021-11-24T07:15:52.830619Z;n;ekol;SLU.ekol.2021.4.4.IÄ-11;1;20.500.12703/3923;e026c24b-cd62-40a5-909d-aa677bcc9728;
2021-307;2021-12-01T16:12:39.390725Z;n;seksko;SLU.seksko.2021.IÄ-2.;1;20.500.12703/3925;8c4c6cbd-ad83-4103-bde5-ef3ece362711;
2021-46;2021-08-02T13:41:02.832626Z;n;;;1;;;
2021-58;2021-10-25T15:13:11.13139Z;n;kv;SLU.kv.2016.4.1-160;1;20.500.12703/3928;9f08f0d8-ec08-4356-873c-90f385a56ba4;
2021-77;2021-03-23T09:12:58.185415Z;n;ekol;SLU.ekol.2021.4.4.IÄ-1;1;20.500.12703/3930;75dace3d-5d0d-438d-a58a-9f53e0ecd4c7;
2021-90;2021-06-17T12:12:55.069207Z;n;;;1;;;
ECDS0154;2019-11-26T15:24:28Z;n;;;-;;;
ECDS0169;2020-02-20T15:13:52Z;n;;;-;;;
ECDS0225;2019-06-11T09:43:45Z;n;;;1.0;;;
ECDS0248;2019-05-07T08:38:44Z;n;;;1.0;;;
ECDS0249;2019-09-17T07:04:10Z;n;;;1.0;;;
ECDS0251;2019-05-07T08:42:07Z;n;;;1.0;;;
EXT0280;2019-01-29T15:18:08Z;n;;;-;;;
SND1073;2018-12-11T10:08:39Z;n;;;1.0;;;
SND1092;2019-03-27T13:06:37Z;n;;;1.0;;;
SND1104;2020-05-07T10:15:44Z;n;;;1.0;;;
SND1105;2021-09-21T13:51:06.325306Z;n;;;1.0;;;
SND1106;2019-09-18T08:13:32Z;n;;;1.0;;;
SND1107;2019-09-18T09:03:39Z;n;;;1.0;;;
SND1116;2021-04-30T08:14:00.535712Z;n;;;1.0;;;
SND1124;2019-10-03T11:06:15Z;n;ekol;SLU.ekol.2019.4.4.IÄ-3;1.0;20.500.12703/182;59af2fb1-5115-4d22-84a4-fad61b718fbb;
SND1125;2020-06-18T09:40:22.837945Z;n;;;1.0;;;
SND1133;2021-04-30T08:15:56.214991Z;n;;;1.0;;;
SND1151;2020-02-28T10:54:02Z;n;;;1.0;;;
SND1155;2020-03-31T09:00:04Z;n;;621-2001-1543;1.0;;;
SND1295;2020-06-04T07:47:15.495426Z;n;kv;SLU.kv.2016.4.1-51;1;20.500.12703/3932;87ff2c4f-c587-49de-944f-4ecc261c946d;
SND1295;2021-12-06T13:22:02.575293Z;n;kv;SLU.kv.2016.4.1-51;1;20.500.12703/3932;87ff2c4f-c587-49de-944f-4ecc261c946d;
SND1296;2020-06-17T12:10:47.192543Z;n;sbt;SLU.sbt.2020.3.2.1-13;1;20.500.12703/3934;f997ec56-f09d-4392-b49b-849bdd3b3a9b;
2021-193;2021-12-16T11:21:11.980744Z;n;ess;SLU.ess.2021.4.4.IÄ-1;1;;;
2021-334;2022-01-07T13:18:19.084025Z;n;kv;SLU.kv.2021.4.4-197;1;20.500.12703/3938;82e632e4-a400-4431-a21b-f92a890fd94a;
2021-215;2022-01-14T07:19:55.23197Z;n;ekol;SLU.ekol.2021.4.4.IÄ-4;1;20.500.12703/3917;;article_added
